
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       3284
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       912
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       4204
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       52148
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       10784
  TCP    0.0.0.0:8733           0.0.0.0:0              LISTENING       3536
  TCP    0.0.0.0:14430          0.0.0.0:0              LISTENING       7180
  TCP    0.0.0.0:14440          0.0.0.0:0              LISTENING       7180
  TCP    0.0.0.0:15018          0.0.0.0:0              LISTENING       10852
  TCP    0.0.0.0:21300          0.0.0.0:0              LISTENING       10384
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       608
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1272
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1576
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2224
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2860
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       692
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       684
  TCP    0.0.0.0:55920          0.0.0.0:0              LISTENING       8648
  TCP    0.0.0.0:65003          0.0.0.0:0              LISTENING       3536
  TCP    0.0.0.0:65004          0.0.0.0:0              LISTENING       3536
  TCP    127.0.0.1:4441         0.0.0.0:0              LISTENING       8776
  TCP    127.0.0.1:8380         0.0.0.0:0              LISTENING       8648
  TCP    127.0.0.1:10530        0.0.0.0:0              LISTENING       7632
  TCP    127.0.0.1:10531        0.0.0.0:0              LISTENING       7632
  TCP    127.0.0.1:16105        0.0.0.0:0              LISTENING       8928
  TCP    127.0.0.1:16106        0.0.0.0:0              LISTENING       7516
  TCP    127.0.0.1:16107        0.0.0.0:0              LISTENING       9000
  TCP    127.0.0.1:16108        0.0.0.0:0              LISTENING       10924
  TCP    127.0.0.1:17107        0.0.0.0:0              LISTENING       8960
  TCP    127.0.0.1:30000        0.0.0.0:0              LISTENING       3940
  TCP    127.0.0.1:31026        0.0.0.0:0              LISTENING       3248
  TCP    127.0.0.1:31027        0.0.0.0:0              LISTENING       3248
  TCP    127.0.0.1:34581        0.0.0.0:0              LISTENING       9248
  TCP    127.0.0.1:39721        0.0.0.0:0              LISTENING       3460
  TCP    127.0.0.1:55501        0.0.0.0:0              LISTENING       7792
  TCP    127.0.0.1:55512        0.0.0.0:0              LISTENING       7792
  TCP    192.168.0.8:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.0.8:49683      40.77.226.17:443       ESTABLISHED     4180
  TCP    192.168.0.8:49810      184.28.152.144:443     CLOSE_WAIT      12012
  TCP    192.168.0.8:49812      23.43.2.61:443         CLOSE_WAIT      12012
  TCP    192.168.0.8:49813      184.28.152.144:443     CLOSE_WAIT      12012
  TCP    192.168.0.8:49814      184.28.152.144:443     CLOSE_WAIT      12012
  TCP    192.168.0.8:49817      131.253.14.231:443     ESTABLISHED     7244
  TCP    192.168.0.8:50450      191.236.129.107:5671   ESTABLISHED     19912
  TCP    192.168.0.8:53088      117.18.232.200:443     TIME_WAIT       0
  TCP    192.168.0.8:54793      216.58.197.147:443     ESTABLISHED     12328
  TCP    192.168.0.8:56847      216.58.220.243:443     ESTABLISHED     12328
  TCP    192.168.0.8:60132      0.0.0.0:0              LISTENING       12452
  TCP    192.168.0.8:61164      104.237.191.1:443      ESTABLISHED     12328
  TCP    192.168.0.8:61185      104.237.191.1:443      CLOSE_WAIT      12328
  TCP    192.168.0.8:61622      157.56.52.33:40001     CLOSE_WAIT      12452
